국립공원,생물분류,종명,학명,분류명,조사위치,조사주소,경도,위도,조사일자,개체수
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 황산리 산 129,128.120249,35.756004,2023-03-17,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 16-1,128.087152,35.782508,2023-04-21,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.098572,35.808889,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.099829,35.809669,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.100695,35.810349,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.101019,35.811204,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.101876,35.811893,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.096993,35.807247,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.099764,35.809598,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.101267,35.81099,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.101892,35.8119,2023-04-24,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 10,128.094632,35.794635,2023-04-27,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 구원리 산 3-1,128.114557,35.786445,2023-04-28,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.099112,35.81352,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.099925,35.813708,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.099925,35.813708,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.10247,35.812896,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.099104,35.813407,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.097948,35.813101,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.099699,35.813663,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.101297,35.813868,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.101775,35.812845,2023-05-02,1
가야산,포유류,Sus scrofa,scrofa,멧돼지,가야산,경남 합천군 가야면 치인리 산 1-1,128.099481,35.809668,2023-05-02,1
